timestamp,pose,dx,dy,scale,true_pose
2025-11-12 20:11:00.931813,normal,-1,5,1.02,
2025-11-12 20:11:00.968270,normal,-2,4,1.02,
2025-11-12 20:11:01.011562,normal,-2,4,1.014,
2025-11-12 20:11:01.041690,normal,-1,4,1.005,
2025-11-12 20:11:01.081926,normal,-2,4,1.014,
2025-11-12 20:11:01.111558,normal,-2,4,1.01,
2025-11-12 20:11:01.153641,normal,-2,4,1.02,
2025-11-12 20:11:01.181770,normal,-2,4,1.01,
2025-11-12 20:11:01.211624,normal,-2,4,1.015,
2025-11-12 20:11:01.251574,normal,-2,4,1.005,
2025-11-12 20:11:01.281906,normal,-2,4,1.024,
2025-11-12 20:11:01.320477,normal,-2,4,1.015,
2025-11-12 20:11:01.344565,normal,-2,4,1.014,
2025-11-12 20:11:01.383370,normal,-2,4,1.02,
2025-11-12 20:11:01.419475,normal,-2,4,1.015,
2025-11-12 20:11:01.452190,normal,-2,4,1.02,
2025-11-12 20:11:01.482236,normal,-2,4,1.025,
2025-11-12 20:11:01.513213,normal,-2,4,1.02,
2025-11-12 20:11:01.552042,normal,-1,4,1.014,
2025-11-12 20:11:01.583942,normal,-1,4,1.014,
2025-11-12 20:11:01.612629,normal,-1,4,1.014,
2025-11-12 20:11:01.651698,normal,-3,4,1.02,
2025-11-12 20:11:01.686200,normal,-1,4,1.015,
2025-11-12 20:11:01.715692,normal,-2,4,1.015,
2025-11-12 20:11:01.753349,normal,-2,3,1.01,
2025-11-12 20:11:01.781883,normal,-2,4,1.01,
2025-11-12 20:11:01.811681,normal,-3,4,1.014,
2025-11-12 20:11:01.853362,normal,-2,4,1.02,
2025-11-12 20:11:01.883453,normal,-3,4,1.01,
2025-11-12 20:11:01.915817,normal,-3,5,1.009,
2025-11-12 20:11:02.020561,normal,-3,4,1.015,
2025-11-12 20:11:02.055212,normal,-3,4,1.01,
2025-11-12 20:11:02.091808,normal,-3,5,1.01,
2025-11-12 20:11:02.120447,normal,-3,4,1.01,
2025-11-12 20:11:02.152957,normal,-3,4,1.01,
2025-11-12 20:11:02.197078,normal,-2,5,1.014,
2025-11-12 20:11:02.231751,normal,-3,3,1.015,
2025-11-12 20:11:02.261839,normal,-3,4,1.024,
2025-11-12 20:11:02.293893,normal,-3,4,1.019,
2025-11-12 20:11:02.331866,normal,-3,4,1.019,
2025-11-12 20:11:02.373202,normal,-3,4,1.014,
2025-11-12 20:11:02.416612,normal,-3,4,1.014,
2025-11-12 20:11:02.455218,normal,-2,5,1.02,
2025-11-12 20:11:02.482749,normal,-3,5,1.024,
2025-11-12 20:11:02.531829,normal,-2,5,1.014,
2025-11-12 20:11:02.573278,normal,-2,3,1.019,
2025-11-12 20:11:02.606202,normal,-2,4,1.02,
2025-11-12 20:11:02.641862,normal,-1,4,1.024,
2025-11-12 20:11:02.672247,normal,-1,4,1.025,
2025-11-12 20:11:02.711790,normal,-2,4,1.025,
2025-11-12 20:11:02.751494,normal,-3,4,1.029,
2025-11-12 20:11:02.786402,normal,-2,5,1.019,
2025-11-12 20:11:02.825590,normal,-2,4,1.029,
2025-11-12 20:11:02.872224,normal,-2,4,1.024,
2025-11-12 20:11:02.904946,normal,-2,4,1.029,
2025-11-12 20:11:02.945475,normal,-2,4,1.024,
2025-11-12 20:11:02.979432,normal,-2,3,1.025,
2025-11-12 20:11:03.011906,normal,-2,4,1.029,
2025-11-12 20:11:03.045698,normal,-2,4,1.023,
2025-11-12 20:11:03.091440,normal,-2,5,1.019,
2025-11-12 20:11:03.131516,normal,-2,4,1.019,
2025-11-12 20:11:03.166360,normal,-2,4,1.024,
2025-11-12 20:11:03.200195,normal,-2,4,1.019,
2025-11-12 20:11:03.241562,normal,-1,4,1.019,
2025-11-12 20:11:03.292266,normal,-1,4,1.014,
2025-11-12 20:11:03.341771,normal,-1,4,1.024,
2025-11-12 20:11:03.385715,normal,-2,4,1.019,
2025-11-12 20:11:03.431482,normal,-1,4,1.019,
2025-11-12 20:11:03.473570,normal,-1,3,1.02,
2025-11-12 20:11:03.526603,normal,-1,4,1.02,
2025-11-12 20:11:03.569443,normal,-2,4,1.014,
2025-11-12 20:11:03.611545,normal,-1,4,1.01,
2025-11-12 20:11:03.652539,normal,-1,4,1.014,
2025-11-12 20:11:03.685915,normal,-1,4,1.014,
2025-11-12 20:11:03.711682,normal,-1,3,1.014,
2025-11-12 20:11:03.741835,normal,-1,3,1.02,
2025-11-12 20:11:03.778419,normal,-1,4,1.014,
2025-11-12 20:11:03.809482,normal,-1,4,1.02,
2025-11-12 20:11:03.838886,normal,-2,4,1.029,
2025-11-12 20:11:03.881881,normal,-1,4,1.019,
2025-11-12 20:11:03.926736,normal,-1,4,1.019,
2025-11-12 20:11:03.956983,normal,-1,4,1.009,
2025-11-12 20:11:03.999587,normal,-2,4,1.01,
2025-11-12 20:11:04.031658,normal,-2,4,1.014,
2025-11-12 20:11:04.055604,normal,-2,4,1.014,
2025-11-12 20:11:04.091965,normal,-1,4,1.014,
2025-11-12 20:11:04.137295,normal,-1,4,1.02,
2025-11-12 20:11:04.171601,normal,-1,4,1.014,
2025-11-12 20:11:04.219581,normal,0,4,1.014,
2025-11-12 20:11:04.251722,normal,-1,4,1.014,
2025-11-12 20:11:04.300527,normal,-1,4,1.019,
2025-11-12 20:11:04.333810,normal,-1,4,1.02,
2025-11-12 20:11:04.385108,normal,0,4,1.014,
2025-11-12 20:11:04.424079,normal,0,4,1.014,
2025-11-12 20:11:04.474231,normal,-1,4,1.019,
2025-11-12 20:11:04.511516,normal,0,4,1.009,
2025-11-12 20:11:04.553031,normal,0,4,1.014,
2025-11-12 20:11:04.591567,normal,0,4,1.024,
2025-11-12 20:11:04.641813,normal,-1,4,1.009,
2025-11-12 20:11:04.691787,normal,-1,4,1.005,
2025-11-12 20:11:04.735594,normal,-1,4,1.004,
2025-11-12 20:11:04.771765,normal,0,4,1.009,
2025-11-12 20:11:04.811565,normal,0,4,1.008,
2025-11-12 20:11:04.841708,normal,-1,4,1.008,
2025-11-12 20:11:04.891572,normal,-1,4,1.023,
2025-11-12 20:11:04.933121,normal,-1,3,1.008,
2025-11-12 20:11:04.961942,normal,-1,4,1.014,
2025-11-12 20:11:04.991644,normal,0,3,1.003,
2025-11-12 20:11:05.032192,normal,0,4,1.014,
2025-11-12 20:11:05.062288,normal,0,4,1.004,
2025-11-12 20:11:05.092855,normal,0,3,1.008,
2025-11-12 20:11:05.125546,normal,0,4,1.019,
2025-11-12 20:11:05.161704,normal,0,3,1.009,
2025-11-12 20:11:05.198898,normal,1,3,1.004,
2025-11-12 20:11:05.231751,normal,-1,4,1.014,
2025-11-12 20:11:05.261588,normal,-1,4,1.014,
2025-11-12 20:11:05.298553,normal,0,4,1.009,
2025-11-12 20:11:05.332087,normal,0,4,1.003,
2025-11-12 20:11:05.371426,normal,2,4,1.018,
2025-11-12 20:11:05.418880,normal,0,4,1.014,
2025-11-12 20:11:05.452341,normal,0,4,1.014,
2025-11-12 20:11:05.491942,normal,0,4,1.008,
2025-11-12 20:11:05.531966,normal,1,4,1.014,
2025-11-12 20:11:05.571524,normal,0,4,1.014,
2025-11-12 20:11:05.604568,normal,0,4,1.004,
2025-11-12 20:11:05.650045,normal,-1,4,1.003,
2025-11-12 20:11:05.691553,normal,-1,5,1.014,
2025-11-12 20:11:05.721912,normal,-1,4,1.019,
2025-11-12 20:11:05.769739,normal,0,4,1.008,
2025-11-12 20:11:05.822160,normal,-1,5,1.019,
2025-11-12 20:11:05.862248,normal,-1,4,1.008,
2025-11-12 20:11:05.905293,normal,-1,4,1.018,
2025-11-12 20:11:05.946961,normal,0,4,1.008,
2025-11-12 20:11:05.983254,normal,0,4,1.023,
2025-11-12 20:11:06.020016,normal,0,4,1.019,
2025-11-12 20:11:06.064083,normal,0,4,1.014,
2025-11-12 20:11:06.091665,normal,0,4,1.019,
2025-11-12 20:11:06.121607,normal,1,5,1.009,
2025-11-12 20:11:06.164139,normal,0,4,1.009,
